Bundesland,Name,URL,lat,lon
Baden-Württemberg,hierzuland.info,hierzuland.info,52.5186200,13.3761870
Baden-Württemberg,In Weinheim,inweinheim.de,49.5449640,8.6602700
Baden-Württemberg,NADR – Neues aus der Region,nadr.de,49.0124360,8.6093980
Baden-Württemberg,NRWZ,nrwz.de,48.1610690,8.6316220
Baden-Württemberg,Rheinneckarblog,rheinneckarblog.de,49.4874590,8.4660390
Bayern,B304,b304.de,48.0783380,11.7445660
Bayern,Bürgerblick,buergerblick.de,48.5667360,13.4319470
Bayern,da Hog'n,hogn.de,48.8081370,13.5484260
Bayern,Ismaninger Online,ismaninger.de,48.2258970,11.6742740
Bayern,München querbeet,muenchen-querbeet.de,48.2258970,11.6742740
Bayern,Regensburg digital,regensburg-digital.de,49.0145420,12.1008560
Bayern,Tegernseer Stimme,tegernseerstimme.de,47.7508880,11.7354580
Berlin,Berlin Magazin,berlin-magazin.info,52.525794,13.345642
Berlin,Neukoellner.net,neukoellner.net,52.43128,13.332939
Berlin,Prenzlberger Stimme,prenzlberger-stimme.de,52.541458,13.525543
Berlin,Prenzlauer Berg Nachrichten,prenzlauerberg-nachrichten.de,52.57694,13.42186
Brandenburg,Der Schulzendorfer,schulzendorfer.de,52.306307,13.595581
Brandenburg,Der Stadtfalke,der-stadtfalke.de,52.5649550,13.0823640
Brandenburg,Eichwalder Nachrichten,eichwalder-nachrichten.de,52.3725000,13.6246220
Brandenburg,klaerwerkblog.de,klaerwerk-blog.de,52.3500000,13.4000000
Hamburg,Altona.info,altona.info,53.562871,9.753113
Hamburg,Eimsbütteler Nachrichten,eimsbuetteler-nachrichten.de,53.712012,10.044250
Hamburg,Elbmelancholie,elbmelancholie.de,53.617695,10.281143
Hamburg,MyPauli.com,mypauli.com,53.51983,9.902115
Hamburg,Hamburg mittendrin,hh-mittendrin.de,53.571698,9.990349
Hamburg,Wilhelmsburg Online,wilhelmsburgonline.de,53.461820,10.082016
Hessen,Homberger Hingucker,homberger-hingucker.de,50.3345730,7.7814050
Hessen,Mittelhessenblog,mittelhessenblog.de,50.6257510,8.5952810
Hessen,Umstädter Spätlese,umstaedter-spaetlese.de,49.8701540,8.9263450
Hessen,Weilburger Nachrichten,weilburger-nachrichten.de,50.4859260,8.2722570
Hessen,weiterstadtnetz.de,weiterstadtnetz.de,49.8991610,8.5991070
Mecklenburg-Vorpommern,alles-mv.de,alles-mv.de,53.6355020,11.4012500
Mecklenburg-Vorpommern,Das ist Rostock,das-ist-rostock.de,54.0834190,12.1004290
Niedersachsen,Einbecker Politik-Blogs,einbeckerpolitik.wordpress.com,51.8205720,9.8683090
Nordrhein-Westfalen,Bergkamener Infoblog,bergkamen-infoblog.de,51.675888,7.439117
Nordrhein-Westfalen,Düsseldorf Magazin,duesseldorf-magazin.info,51.2277410,6.7734560
Nordrhein-Westfalen,Hallo Herne,halloherne.de,51.5368950,7.2009150
Nordrhein-Westfalen,Köln Magazin,koeln-magazin.info,50.918582,7.132187
Nordrhein-Westfalen,Meine Südstadt,meine-suedstadt.de,50.9281820,6.9634650
Nordrhein-Westfalen,Pottblog,pottblog.de,51.477497,7.072792
Nordrhein-Westfalen,Ruhrbarone,ruhrbarone.de,51.4818450,7.2162360
Nordrhein-Westfalen,Rundblick Unna,rundblick-unna.de,51.5426350,7.6853110
Nordrhein-Westfalen,Sesekegeflüster,sesekegefluester.de,51.5882750,7.6590460
Nordrhein-Westfalen,Solinger Bote,solinger-bote.de,51.7189210,8.7575090
Nordrhein-Westfalen,Veganes Paderborn,veganes-paderborn.de,51.7189210,8.7575090
Rheinland-Pfalz,16 vor,16vor.de,49.7499920,6.6371430
Rheinland-Pfalz,Wir in Rheinhessen,wir-in-rheinhessen.de,49.8519220,8.3602740
Sachsen,Dippser StattZeitung,dippolds.info,50.8951320,13.6684410,
Sachsen,Heldenstadt,heldenstadt.de,51.3396950,12.3730750
Sachsen,Weltnest,weltnest.de,51.3396950,12.3730750
Schleswig-Holstein,Blickpunkt Bordesholm,blickpunkt-bordesholm.de,54.1762240,10.0309600
Österreich,Annenpost,annenpost.at,47.0707140,15.4395040
Österreich,Ötztal.Blog,oetztalblog.com,47.0740230,10.9701360
Schweiz,Aus den Quartieren,blogs.tageswoche.ch/deblogs/ausdenquartieren,47.5574210,7.5925730